iter	Passed	Remaining
413	3237	4582
414	3249	4579
415	3258	4574
416	3266	4566
417	3274	4559
418	3284	4554
419	3292	4546
420	3301	4540
421	3309	4532
422	3319	4527
423	3327	4520
424	3337	4515
425	3347	4511
426	3355	4502
427	3364	4496
428	3372	4488
429	3380	4481
430	3389	4474
431	3396	4465
432	3404	4458
433	3412	4450
434	3421	4443
435	3429	4436
436	3436	4427
437	3447	4423
438	3456	4417
439	3464	4409
440	3474	4403
441	3484	4398
442	3493	4392
443	3501	4384
444	3509	4377
445	3518	4370
446	3527	4363
447	3535	4356
448	3544	4349
449	3552	4341
450	3560	4333
451	3568	4325
452	3576	4318
453	3585	4311
454	3592	4303
455	3600	4295
456	3610	4289
457	3618	4282
458	3626	4274
459	3635	4267
460	3644	4261
461	3654	4255
462	3662	4248
463	3670	4239
464	3678	4231
465	3686	4223
466	3694	4216
467	3701	4207
468	3712	4203
469	3721	4196
470	3729	4189
471	3738	4181
472	3746	4174
473	3754	4166
474	3763	4159
475	3771	4152
476	3780	4144
477	3787	4136
478	3795	4128
479	3803	4119
480	3811	4112
481	3820	4105
482	3829	4098
483	3836	4090
484	3845	4083
485	3854	4076
486	3861	4067
487	3870	4060
488	3877	4051
489	3885	4043
490	3893	4036
491	3902	4029
492	3910	4021
493	3919	4015
494	3927	4006
495	3934	3998
496	3944	3991
497	3952	3984
498	3961	3977
499	3970	3970
500	3978	3963
501	3986	3955
502	3997	3949
503	4005	3942
504	4014	3934
505	4024	3928
506	4033	3921
507	4039	3912
508	4048	3905
509	4056	3897
510	4062	3888
511	4071	3880
512	4079	3872
513	4087	3864
514	4096	3858
515	4103	3849
516	4112	3841
517	4120	3834
518	4129	3827
519	4136	3818
520	4143	3809
521	4151	3801
522	4161	3795
523	4169	3787
524	4178	3780
525	4185	3771
526	4195	3765
527	4203	3757
528	4211	3749
529	4219	3742
530	4228	3734
531	4235	3726
532	4243	3717
533	4251	3710
534	4258	3701
535	4266	3692
536	4274	3685
537	4283	3678
538	4291	3670
539	4300	3663
540	4308	3655
541	4316	3647
542	4324	3639
543	4332	3632
544	4342	3625
545	4350	3617
546	4357	3608
547	4365	3600
548	4372	3592
549	4380	3583
550	4388	3576
551	4395	3567
552	4401	3557
553	4410	3550
554	4419	3543
555	4425	3534
556	4432	3525
557	4441	3518
558	4449	3510
559	4456	3501
560	4465	3494
561	4474	3487
562	4484	3480
563	4491	3471
564	4499	3464
565	4510	3458
566	4518	3450
567	4528	3444
568	4538	3437
569	4548	3431
570	4559	3425
571	4567	3417
572	4574	3409
573	4582	3401
574	4593	3395
575	4603	3388
576	4611	3380
577	4620	3373
578	4628	3365
579	4635	3357
580	4644	3349
581	4652	3341
582	4660	3333
583	4669	3326
584	4677	3318
585	4684	3309
586	4693	3302
587	4702	3295
588	4710	3286
589	4718	3279
590	4727	3271
591	4737	3264
592	4746	3257
593	4754	3249
594	4761	3241
595	4769	3233
596	4777	3224
597	4786	3217
598	4794	3209
599	4802	3201
600	4809	3193
601	4816	3184
602	4824	3176
603	4832	3168
604	4840	3160
605	4850	3153
606	4858	3145
607	4868	3138
608	4874	3129
609	4883	3122
610	4890	3113
611	4898	3105
612	4905	3096
613	4915	3089
614	4922	3081
615	4929	3072
616	4937	3064
617	4944	3056
618	4952	3048
619	4959	3039
620	4967	3031
621	4975	3023
622	4983	3015
623	4990	3007
624	4999	2999
625	5006	2990
626	5014	2983
627	5021	2974
628	5029	2966
629	5037	2958
630	5044	2950
631	5052	2942
632	5060	2933
633	5066	2925
634	5072	2915
635	5080	2907
636	5088	2899
637	5096	2891
638	5102	2882
639	5109	2874
640	5120	2867
641	5128	2859
642	5137	2852
643	5145	2844
644	5151	2835
645	5159	2827
646	5167	2819
647	5175	2811
648	5184	2803
649	5193	2796
650	5200	2787
651	5209	2780
652	5215	2771
653	5224	2763
654	5233	2756
655	5241	2748
656	5251	2741
657	5259	2733
658	5266	2725
659	5276	2718
660	5286	2711
661	5294	2703
662	5303	2695
663	5311	2687
664	5319	2679
665	5328	2672
666	5335	2663
667	5342	2655
668	5350	2647
669	5359	2639
670	5367	2631
671	5375	2623
672	5382	2615
673	5390	2607
674	5398	2599
675	5405	2590
676	5412	2582
677	5419	2573
678	5426	2565
679	5434	2557
680	5444	2550
681	5450	2541
682	5456	2532
683	5463	2523
684	5469	2515
685	5476	2506
686	5483	2498
687	5490	2489
688	5498	2481
689	5506	2474
690	5514	2465
691	5521	2457
692	5529	2449
693	5536	2441
694	5543	2432
695	5551	2424
696	5557	2416
697	5565	2408
698	5572	2399
699	5579	2391
700	5586	2382
701	5593	2374
702	5601	2366
703	5607	2357
704	5615	2349
705	5622	2341
706	5629	2332
707	5636	2324
708	5643	2316
709	5651	2308
710	5659	2300
711	5666	2292
712	5673	2283
713	5681	2275
714	5688	2267
715	5695	2259
716	5702	2250
717	5709	2242
718	5716	2234
719	5724	2226
720	5731	2218
721	5738	2209
722	5746	2201
723	5753	2193
724	5761	2185
725	5768	2176
726	5775	2168
727	5782	2160
728	5790	2152
729	5797	2144
730	5804	2135
731	5811	2127
732	5818	2119
733	5826	2111
734	5833	2103
735	5841	2095
736	5847	2086
737	5855	2078
738	5861	2070
739	5869	2062
740	5876	2053
741	5883	2045
742	5890	2037
743	5896	2029
744	5904	2020
745	5910	2012
746	5917	2004
747	5927	1996
748	5934	1988
749	5941	1980
750	5948	1972
751	5956	1964
752	5962	1955
753	5969	1947
754	5976	1939
755	5983	1931
756	5991	1923
757	5998	1915
758	6006	1907
759	6013	1898
760	6021	1891
761	6028	1882
762	6035	1874
763	6041	1866
764	6050	1858
765	6057	1850
766	6064	1842
767	6072	1834
768	6079	1826
769	6086	1818
770	6093	1809
771	6101	1801
772	6108	1793
773	6115	1785
774	6123	1777
775	6131	1769
776	6139	1761
777	6146	1753
778	6154	1745
779	6161	1737
780	6168	1729
781	6175	1721
782	6183	1713
783	6190	1705
784	6197	1697
785	6204	1689
786	6212	1681
787	6220	1673
788	6227	1665
789	6235	1657
790	6242	1649
791	6249	1641
792	6256	1633
793	6263	1625
794	6270	1616
795	6278	1609
796	6285	1600
797	6292	1592
798	6300	1584
799	6307	1576
800	6314	1568
801	6321	1560
802	6328	1552
803	6335	1544
804	6343	1536
805	6350	1528
806	6357	1520
807	6365	1512
808	6375	1505
809	6383	1497
810	6391	1489
811	6399	1481
812	6407	1473
813	6414	1465
814	6421	1457
815	6429	1449
816	6434	1441
817	6441	1433
818	6447	1425
819	6455	1417
820	6461	1408
821	6468	1400
822	6477	1393
823	6485	1385
824	6493	1377
825	6499	1369
826	6507	1361
827	6512	1352
828	6519	1344
829	6526	1336
830	6533	1328
831	6542	1320
832	6549	1313
833	6560	1305
834	6570	1298
835	6579	1290
836	6588	1283
837	6594	1274
838	6601	1266
839	6607	1258
840	6613	1250
841	6620	1242
842	6626	1234
843	6633	1226
844	6640	1218
845	6649	1210
846	6660	1203
847	6670	1195
848	6677	1187
849	6685	1179
850	6691	1171
851	6698	1163
852	6705	1155
853	6714	1147
854	6724	1140
855	6731	1132
856	6739	1124
857	6745	1116
858	6751	1108
859	6759	1100
860	6768	1092
861	6774	1084
862	6782	1076
863	6788	1068
864	6795	1060
865	6804	1052
866	6811	1044
867	6819	1037
868	6826	1029
869	6834	1021
870	6841	1013
871	6848	1005
872	6854	997
873	6861	989
874	6868	981
875	6875	973
876	6882	965
877	6890	957
878	6897	949
879	6904	941
880	6911	933
881	6920	925
882	6927	917
883	6935	910
884	6943	902
885	6950	894
886	6957	886
887	6965	878
888	6974	870
889	6983	863
890	6991	855
891	7000	847
892	7007	839
893	7014	831
894	7022	823
895	7030	815
896	7037	808
897	7045	800
898	7052	792
899	7061	784
900	7068	776
901	7076	768
902	7083	760
903	7091	753
904	7099	745
905	7106	737
906	7113	729
907	7120	721
908	7128	713
909	7134	705
910	7141	697
911	7148	689
912	7155	681
913	7162	673
914	7170	666
915	7177	658
916	7184	650
917	7191	642
918	7198	634
919	7205	626
920	7212	618
921	7219	610
922	7228	603
923	7235	595
924	7243	587
925	7250	579
926	7258	571
927	7265	563
928	7273	555
929	7280	548
930	7288	540
931	7296	532
932	7305	524
933	7312	516
934	7321	508
935	7329	501
936	7339	493
937	7345	485
938	7354	477
939	7360	469
940	7368	461
941	7374	454
942	7380	446
943	7387	438
944	7392	430
945	7398	422
946	7405	414
947	7414	406
948	7424	399
949	7432	391
950	7438	383
951	7444	375
952	7453	367
953	7459	359
954	7466	351
955	7472	343
956	7479	336
957	7486	328
958	7492	320
959	7499	312
960	7506	304
961	7512	296
962	7519	288
963	7526	281
964	7534	273
965	7540	265
966	7548	257
967	7555	249
968	7563	241
969	7570	234
970	7579	226
971	7589	218
972	7599	210
973	7606	203
974	7617	195
975	7626	187
976	7633	179
977	7639	171
978	7645	164
979	7653	156
980	7662	148
981	7670	140
982	7677	132
983	7684	124
984	7691	117
985	7702	109
986	7709	101
987	7716	93
988	7723	85
989	7730	78
990	7735	70
991	7742	62
992	7749	54
993	7756	46
994	7764	39
995	7771	31
996	7782	23
997	7790	15
998	7799	7
999	7805	0
